id,id_num,lines_added_num,lines_deleted_num,time_created,time_updated,subject_length,subject_word_count,num_change_file,num_files_type,num_directory,num_subsystem,is_a_bot,change_num,recent_change_num,review_num,recent_review_num,merged_review_num,recent_merged_review_num,merged_ratio,recent_merged_ratio
If810e67e55eb23685ab4e14da9d5da1864229833,109338,9,1,1610726847000,1610893452000,52,7,1,1,1,1,0,1,1,0,0,0,0,0,0
I123114c8bee92e342740d94a784b2c16e2564528,108441,24,3,1609250615000,1610888425000,65,10,3,2,3,1,0,3,3,0,0,0,0,0,0
I86b63815d30100395181e5a6e9d343d2b7228c13,109460,160,160,1610873589000,1610879439000,56,9,6,2,4,1,0,7,7,0,0,0,0,0,0
I8a64d27927b608afdc7996e0b0bbc59a58fde90f,108443,78,101,1609250615000,1610878791000,65,10,19,2,13,1,0,3,3,0,0,0,0,0,0
Ia3a6b2320e2288528c43c832211ebfcde492881e,109459,59,11,1610854063000,1610860515000,73,10,3,2,3,1,0,7,7,0,0,0,0,0,0
I8762aa8a710c3a37290e1db854b8cc86db6757b8,109436,18,14,1610819447000,1610859431000,52,8,1,1,1,1,0,1,1,0,0,0,0,0,0
I611ea9fb6a81d45cfd52a16abbb37071ea0ce7d1,109446,45,1,1610833236000,1610855891000,44,7,3,2,3,1,0,7,7,0,0,0,0,0,0
I6b1851980464aaa95bf731a60b7d11ab91cec7b6,109405,52,16,1610854779000,1610854779000,52,8,9,2,5,1,0,7,7,0,0,0,0,0,0
I980cb6979cfc7cae8f1251f3459718192459aaee,109402,4,2,1610834864000,1610840644000,59,8,1,1,1,1,0,7,7,0,0,0,0,0,0
I88ee3792589a1c0a16ae555da77ed7c12ca5f296,109455,16,2,1610837917000,1610839836000,44,6,3,1,1,1,0,2,2,0,0,0,0,0,0
I43ac6561c4e39decfd99587e489cb2888805bb0c,109447,24,0,1610833236000,1610839631000,46,8,3,2,3,1,0,7,7,0,0,0,0,0,0
I532f9a67c0268f3287736a61da4cc9fefec7b8e4,109346,4,0,1610732301000,1610839299000,69,8,2,1,2,1,0,8,8,0,0,0,0,0,0
Icc9c5bcde224cc979b834585531b847f1c5f7d0b,109454,15,6,1610837917000,1610839107000,44,6,2,1,1,1,0,2,2,0,0,0,0,0,0
I8c5ade8bfbf609ae7f606bcb412856355c3bb3a6,108531,24,24,1609414981000,1610838848000,29,5,1,1,1,1,1,4,4,0,0,0,0,0,0
I3f38c554f0972e340037cc262af3b8666a275342,109445,1,1,1610830551000,1610835205000,44,4,1,1,1,1,0,6,6,0,0,0,0,0,0
Ie9abb32124b8718bbfde076f090180794c64f90e,108629,8,6,1609692587000,1610833875000,36,7,2,1,2,1,0,1,1,0,0,0,0,0,0
I83916fe7a3fa0907e51f2674221967591c57ebb1,108015,141,24,1608382223000,1610833832000,60,9,1,1,1,1,1,1,1,0,0,0,0,0,0
Ia33a0181b0d28b65680d8df9ffa3d0c37078df18,105769,108834,0,1605226634000,1610833827000,23,3,1,1,1,1,0,1,1,0,0,0,0,0,0
Ib3afe3ac26a348f47aa566e7b2e7986c42112a0f,108991,44,77,1610153241000,1610832411000,32,5,3,3,3,1,0,2,2,0,0,0,0,0,0
Idf57df70ac895915959e8d35e493c0e8b8db137f,109080,1,3,1610376171000,1610825122000,42,7,1,1,1,1,0,1,1,0,0,0,0,0,0
I277837b2c0a90ae4e84028dc6e19962939c1aef3,108645,218,215,1609721335000,1610824563000,30,5,25,5,7,1,0,7,7,0,0,0,0,0,0
Iae0229ccc61eeb2f7ae9ca07c457b8c30e873903,108676,1240,0,1609798519000,1610824141000,23,4,3,3,3,1,0,7,7,0,0,0,0,0,0
I45a7d8a5375e09cb0cdfb216d0154c210b0702bc,109439,4,4,1610822867000,1610822919000,51,9,1,1,1,1,0,1,1,0,0,0,0,0,0
I050360cad34616709549e7461add0811dc26edc6,108944,120,14,1610060015000,1610821700000,45,5,3,2,2,1,0,5,5,0,0,0,0,0,0
I3c43dd28275c9371295516f4cb3b5a8ca1eda7b6,109434,1,1,1610816200000,1610819632000,53,5,1,1,1,1,0,6,6,0,0,0,0,0,0
If10dc85e490ac57fc150b3d541f5033dfd5293bb,109413,7,4,1610754888000,1610817261000,51,8,1,1,1,1,0,3,3,100,100,0,0,0,0
I2fe98b4bfb221c838a8810f2c08b3e7723e40e8e,109428,1,2,1610811007000,1610816939000,55,8,1,1,1,1,0,2,2,0,0,0,0,0,0
I5d3e30fdb14e3753d52355eaaf60cd671b907a84,109308,4,11,1610669753000,1610816225000,37,4,2,2,2,1,0,1,1,0,0,0,0,0,0
I3a8d1daf9ab1c7b039948627b341089b454757d6,109331,43,0,1610724388000,1610802843000,38,4,2,2,2,1,0,3,3,0,0,0,0,0,0
Ibd63fe6ab13fa42d62b9873a6484e66e852464c3,109412,11,0,1610754888000,1610801272000,67,8,3,2,3,1,0,3,3,0,0,0,0,0,0
I9eedb786992635bba03e3284d3371722ce941c43,109422,1,1,1610761035000,1610786909000,36,4,1,1,1,1,0,6,6,0,0,0,0,0,0
I988744973f04327ac3359a0c5ab6169e9d6af008,109418,2,2,1610760113000,1610783812000,35,4,1,1,1,1,0,6,6,0,0,0,0,0,0
I55f4d205c08201aee16a89406127739deb19a002,109389,5,5,1610754325000,1610777120000,54,3,3,3,2,1,0,3,3,0,0,0,0,0,0
